ID;gebied;knp 1;knp 2;meerv verb;eenheid;gesl hell;gesl vlak;gesl uitg;eenheid;open hell;open vlak;open uitg;eenheid;dak hell;dak vlak;dak uitg;eenheid;onv hell;onv vlak;onv uitg
*AFV;;200733;;;m2;;;;m2;;97.50;;m2;;;;;;;
*AFV;;200109;;;m2;;23.00;;m2;;482.50;;m2;;250.00;;;;;
*AFV;;201532;;;m2;;180.50;;m2;;27.00;;m2;;;;;;;
*AFV;;200104;;;m2;;;;m2;;137.50;;m2;;238.50;;;;;
*AFV;;200242;;;m2;;;;m2;;191.50;;m2;;89.00;;;;;
*AFV;;4547202;;;m2;;81.00;;m2;;67.00;;m2;;;;;;;
*AFV;;200126;;;m2;;;;m2;;381.50;;m2;;154.50;;;;;
*AFV;;200169;;;m2;;;;m2;;31.00;;m2;;;;;;;
*AFV;;200106;;;m2;;;;m2;;280.00;;m2;;481.00;;;;;
*AFV;;201889;;;m2;;0.50;;m2;;126.00;;m2;;46.00;;;;;
*AFV;;200811;;;m2;;10.50;;m2;;16.50;;m2;;1.50;;;;;
*AFV;;201548;;;m2;;41.00;;m2;;162.50;;m2;;;;;;;
*AFV;;200284;;;m2;;305.50;;m2;;122.50;;m2;;;;;;;
*AFV;;200770;;;m2;;9.00;;m2;;721.00;;m2;;688.50;;;;;
*AFV;;200117;;;m2;;1.00;;m2;;198.50;;m2;;177.50;;;;;
*AFV;;200180;;;m2;;67.50;;m2;;478.00;;m2;;317.00;;;;;
*AFV;;200654;;;m2;;92.00;;m2;;46.50;;m2;;238.50;;;;;
*AFV;;200012;;;m2;;;;m2;;445.50;;m2;;0.50;;;;;
*AFV;;201543;;;m2;;143.00;;m2;;52.00;;m2;;;;;;;
*AFV;;201208;;;m2;;90.50;;m2;;95.00;;m2;;;;;;;
*AFV;;200191;;;m2;;129.50;;m2;;474.00;;m2;;343.00;;;;;
*AFV;;200739;;;m2;;;;m2;;128.50;;m2;;0.00;;;;;
*AFV;;201506;;;m2;;;;m2;;203.00;;m2;;;;;;;
*AFV;;200238;;;m2;;56.50;;m2;;83.50;;m2;;;;;;;
*AFV;;200253;;;m2;;256.50;;m2;;306.50;;m2;;288.00;;;;;
*AFV;;200125;;;m2;;;;m2;;348.50;;m2;;404.00;;;;;
*AFV;;200768;;;m2;;;;m2;;94.50;;m2;;2.50;;;;;
*AFV;;201538;;;m2;;152.50;;m2;;401.00;;m2;;;;;;;
*AFV;;200232;;;m2;;198.00;;m2;;813.00;;m2;;766.00;;;;;
*AFV;;200235;;;m2;;;;m2;;362.50;;m2;;368.00;;;;;
*AFV;;200234;;;m2;;103.00;;m2;;506.00;;m2;;639.00;;;;;
*AFV;;200237;;;m2;;87.00;;m2;;66.00;;m2;;50.00;;;;;
*AFV;;206107;;;m2;;;;m2;;159.00;;m2;;176.00;;;;;
*AFV;;201464;;;m2;;809.50;;m2;;842.00;;m2;;1126.50;;;;;
*AFV;;205977;;;m2;;311.50;;m2;;80.50;;m2;;;;;;;
*AFV;;201892;;;m2;;19.50;;m2;;465.00;;m2;;413.00;;;;;
*AFV;;206130;;;m2;;125.50;;m2;;12.50;;m2;;;;;;;
*AFV;;206129;;;m2;;390.00;;m2;;219.50;;m2;;;;;;;
*AFV;;200255;;;m2;;139.50;;m2;;690.50;;m2;;776.50;;;;;
*AFV;;200252;;;m2;;;;m2;;897.00;;m2;;191.50;;;;;
*AFV;;200257;;;m2;;;;m2;;469.00;;m2;;80.00;;;;;
*AFV;;200249;;;m2;;223.00;;m2;;1586.50;;m2;;567.00;;;;;
*AFV;;200250;;;m2;;;;m2;;916.50;;m2;;180.50;;;;;
*AFV;;206102;;;m2;;;;m2;;383.00;;m2;;897.50;;;;;
*AFV;;206103;;;m2;;;;m2;;379.00;;m2;;833.50;;;;;
*AFV;;206104;;;m2;;;;m2;;211.00;;m2;;422.50;;;;;
*AFV;;206105;;;m2;;38.50;;m2;;85.00;;m2;;38.00;;;;;
*AFV;;206108;;;m2;;;;m2;;34.00;;m2;;2.50;;;;;
*AFV;;206109;;;m2;;22.50;;m2;;74.50;;m2;;36.50;;;;;
*AFV;;200231;;;m2;;465.50;;m2;;959.00;;m2;;398.00;;;;;
*AFV;;200247;;;m2;;227.50;;m2;;1720.00;;m2;;546.50;;;;;
*AFV;;200248;;;m2;;;;m2;;920.50;;m2;;147.50;;;;;
*AFV;;200260;;;m2;;;;m2;;426.00;;m2;;72.50;;;;;
*AFV;;200243;;;m2;;195.50;;m2;;1442.00;;m2;;523.00;;;;;
*AFV;;200244;;;m2;;;;m2;;748.00;;m2;;190.00;;;;;
*AFV;;200241;;;m2;;102.00;;m2;;508.00;;m2;;276.50;;;;;
*AFV;;200233;;;m2;;;;m2;;347.50;;m2;;97.00;;;;;
*AFV;;200256;;;m2;;;;m2;;475.00;;m2;;160.00;;;;;
*AFV;;206122;;;m2;;;;m2;;189.50;;m2;;;;;;;
*AFV;;206121;;;m2;;;;m2;;143.00;;m2;;;;;;;
*AFV;;206116;;;m2;;;;m2;;300.00;;m2;;347.00;;;;;
*AFV;;206119;;;m2;;;;m2;;111.50;;m2;;21.00;;;;;
*AFV;;206120;;;m2;;;;m2;;118.50;;m2;;;;;;;
*AFV;;206138;;;m2;;20.00;;m2;;30.50;;m2;;;;;;;
*AFV;;206137;;;m2;;7.00;;m2;;186.00;;m2;;85.50;;;;;
*AFV;;200885;;;m2;;488.50;;m2;;61.00;;m2;;;;;;;
*AFV;;200884;;;m2;;4.00;;m2;;19.50;;m2;;4.50;;;;;
*AFV;;201561;;;m2;;493.50;;m2;;310.00;;m2;;321.50;;;;;
*AFV;;201893;;;m2;;;;m2;;119.00;;m2;;81.00;;;;;
