ID;gebied;knp;x-coord;y-coord;mv;;;;;
*KNP;;200733;95389680;437266970;-0.80;;;0;;
*KNP;;200109;95994118;437727837;-1.53;;;0;;
*KNP;;201532;96017940;437134840;-0.83;;;0;;
*KNP;;200264;96092340;437575840;-1.47;;;0;;
*KNP;;200229;96262639;437596577;-1.26;;;0;;
*KNP;;200104;95978620;437671560;-1.81;;;0;;
*KNP;;200242;96309170;437470340;-1.31;;;0;;
*KNP;;4547202;96082448;437369714;-1.76;;;0;;
*KNP;;200126;96062132;437693727;-1.50;;;0;;
*KNP;;200169;95792340;437223104;-2.00;;;0;;
*KNP;;200106;95943710;437620560;-1.89;;;0;;
*KNP;;201889;95595170;437530190;-1.41;;;0;;
*KNP;;200811;95797350;437488910;-1.92;;;0;;
*KNP;;201548;95909612;436710019;2.55;;;0;;
*KNP;;200284;95834338;437878808;-1.45;;;0;;
*KNP;;200783;95727956;437513905;-1.29;;;0;;
*KNP;;200770;95510437;437317598;-1.29;;;0;;
*KNP;;200117;96041708;437524544;-1.42;;;0;;
*KNP;;200180;95802907;437278519;-1.76;;;0;;
*KNP;;200654;95773980;437771760;-2.02;;;0;;
*KNP;;200012;96079080;437370947;-1.76;;;0;1;1
*KNP;;201543;95954090;436803840;3.95;;;0;;
*KNP;;201208;95474180;436810790;3.07;;;0;;
*KNP;;200191;95865976;437259627;-1.77;;;0;;
*KNP;;200739;95572033;437225247;-1.56;;;0;;
*KNP;;201824;95605440;437232780;-2.00;;;0;1.25;1.25
*KNP;;201506;95592497;437275272;-1.63;;;0;;
*KNP;;200238;96305931;437438486;-1.22;;;0;;
*KNP;;200253;96388870;437721380;-1.61;;;0;;
*KNP;;200125;96056211;437679091;-1.84;;;0;;
*KNP;;200768;95589091;437283845;-1.36;;;0;;
*KNP;;201538;95975190;436944000;1.85;;;0;;
*KNP;;200232;96301300;437526720;-1.26;;;0;;
*KNP;;200235;96277190;437484250;-1.26;;;0;;
*KNP;;200234;96281370;437482410;-1.27;;;0;;
*KNP;;200237;96280350;437480030;-1.29;;;0;;
*KNP;;200263;96079630;437544000;-1.55;;;0;;
*KNP;;206107;95956881;437739186;-1.35;;;;;
*KNP;;201464;95830140;437907768;-1.07;;;0;;
*KNP;;205977;95445260;436696080;3.84;;;0;;
*KNP;;201892;95529859;437363212;-1.36;;;0;;
*KNP;;201798;95777908;437518786;-1.79;;;0;;
*KNP;;201829;95562238;437233213;-1.25;;;0;;
*KNP;;206130;95520660;437571780;-0.80;;;;;
*KNP;;206129;95515202;437571303;-0.80;;;;;
*KNP;;4547196;95988543;437422272;-1.86;;;0;1;1
*KNP;;200266;96117840;437639240;-1.56;;;0;;
*KNP;;200265;96104360;437605840;-1.57;;;0;;
*KNP;;201988;96145890;437706200;-1.70;;;0;;
