ID;gebied;knp 1;knp 2;meerv verb;bob 1;bob2;lengte;type;materiaal;sdr-waarde;breedte;hoogte;vorm
*LEI;;200733;200732;;-2.83;-2.83;7.74;ge;0;;0.500;;0
*LEI;;200733;201509;;-2.98;-2.98;18.23;ge;;;0.400;;0
*LEI;;200109;200108;;-3.05;-3.05;13.73;ge;0;;0.400;;0
*LEI;;201532;201533;;-2.55;-2.50;24.67;ge;0;;0.400;;0
*LEI;;200264;200265;;-3.24;-3.20;32.32;ge;0;;0.400;;0
*LEI;;200229;200228;;-4.45;-4.45;26.35;ge;;;0.500;;0
*LEI;;200104;200105;;-3.25;-3.23;6.62;ge;;;0.315;;0
*LEI;;4547202;200028;;-3.26;-2.80;28.72;ge;0;;0.400;;0
*LEI;;200126;200125;;-3.09;-3.13;15.79;ge;0;;0.400;;0
*LEI;;200169;200170;;-3.29;-3.29;3.03;ge;0;;0.400;;0
*LEI;;200106;200107;;-3.43;-3.25;60.68;ge;;;0.315;;0
*LEI;;201889;200772;;-2.87;-2.84;23.80;ge;0;;0.500;;0
*LEI;;200811;200812;;-3.26;-3.26;2.89;ge;0;;0.400;;0
*LEI;;201548;201547;;1.65;1.59;25.53;ge;;;0.300;;0
*LEI;;200783;200784;;-6.00;-6.00;10.39;ge;;;0.500;;0
*LEI;;200117;200118;;-3.44;-3.40;27.78;ge;0;;0.400;;0
*LEI;;200180;200179;;-2.95;-3.24;36.32;ge;0;;0.500;;0
*LEI;;200180;200181;;-2.95;-2.92;32.90;ge;0;;0.400;;0
*LEI;;200654;200653;;-3.10;-3.14;40.75;ge;;;0.315;;0
*LEI;;200012;210293;;-3.10;-3.19;54.22;ge;0;;0.500;;0
*LEI;;200012;200187;;-2.92;-2.95;32.86;ge;0;;0.400;;0
*LEI;;200012;4547202;;-3.26;;3.59;ge;0;;0.400;;0
*LEI;;201543;201542;;1.38;1.34;19.66;ge;;;0.300;;0
*LEI;;201208;201206;;0.15;0.15;14.31;ge;0;;0.400;;0
*LEI;;200191;200193;;-2.95;-2.90;12.20;ge;0;;0.400;;0
*LEI;;200191;200192;;-2.95;-2.80;7.35;ge;0;;0.400;;0
*LEI;;200739;201828;;-3.80;-3.80;6.57;ge;0;;0.600;;0
*LEI;;200739;200738;;-2.98;-2.98;21.34;ge;0;;0.500;;0
*LEI;;201506;201507;;-3.38;-3.62;7.35;ge;;;0.800;;0
*LEI;;201506;200767;;-3.65;-3.65;6.54;ge;0;;0.700;1.05;1
*LEI;;200238;200239;;-2.94;-3.04;5.20;ge;;;0.700;;0
*LEI;;200253;200255;;-3.07;-3.10;20.50;ge;0;;0.400;;0
*LEI;;200125;200122;;-3.13;-3.22;34.32;ge;0;;0.400;;0
*LEI;;200768;201896;;-4.27;-4.27;17.69;ge;;;0.400;;0
*LEI;;201538;201537;;-0.04;-0.74;35.13;ge;;;0.300;;0
*LEI;;200232;200233;;-3.21;-3.20;4.66;ge;;;0.315;;0
*LEI;;200232;200231;;-3.21;-3.25;48.19;ge;0;;0.700;;0
*LEI;;200234;200235;;-3.16;-3.15;4.57;ge;;;0.315;;0
*LEI;;200234;200232;;-3.06;-3.21;48.59;ge;0;;0.700;;0
*LEI;;200237;200234;;-3.15;-3.16;2.59;ge;0;;0.400;;0
*LEI;;200263;200264;;-3.28;-3.24;34.28;ge;0;;0.400;;0
*LEI;;206107;206108;;-3.25;-3.24;6.02;ge;;;0.400;;0
*LEI;;201464;201465;;-2.34;-2.25;38.21;ge;;;0.200;;0
*LEI;;205977;203416;;2.45;2.40;43.04;ge;0;;0.400;0.6;1
*LEI;;201892;200770;;-3.09;-3.14;49.58;ge;0;;0.500;;0
*LEI;;201798;201797;;-5.00;-5.00;10.03;ge;;;0.600;;0
*LEI;;201829;200759;;-4.00;-4.00;14.07;ge;;;0.800;;0
*LEI;;206130;200802;;-3.19;-3.22;35.24;ge;0;;0.400;;0
*LEI;;206129;200800;;-3.18;-3.18;133.44;ge;0;;0.400;;0
*LEI;;206129;206130;;-3.18;-3.19;5.48;ge;0;;0.400;;0
*LEI;;200266;201989;;-3.24;-3.28;32.15;ge;0;;0.400;;0
*LEI;;200265;200266;;-3.20;-3.24;36.02;ge;0;;0.400;;0
*LEI;;201987;201988;;-3.20;-3.23;32.23;ge;0;;0.400;;0
*LEI;;201986;201987;;-3.17;-3.20;30.50;ge;0;;0.400;;0
*LEI;;200255;200256;;-3.10;-3.09;4.53;ge;;;0.315;;0
*LEI;;200249;200250;;-3.12;-3.11;4.67;ge;;;0.315;;0
*LEI;;206102;206103;;-3.46;-3.33;39.41;ge;0;;0.400;;0
*LEI;;206103;206104;;-3.33;-3.30;38.57;ge;0;;0.400;;0
*LEI;;206104;206105;;-3.30;-3.30;4.98;ge;;;0.400;;0
*LEI;;206105;206106;;-3.30;-3.30;3.59;ge;;;0.400;;0
*LEI;;206109;206108;;-3.24;-3.24;4.76;ge;;;0.400;;0
*LEI;;200231;200245;;-3.25;-3.22;25.73;ge;0;;0.400;;0
*LEI;;200231;200259;;-3.25;-3.20;48.14;ge;0;;0.400;;0
*LEI;;200231;200230;;-3.25;-3.28;33.80;ge;0;;0.600;;0
*LEI;;200247;200248;;-3.17;-3.16;4.46;ge;;;0.315;;0
*LEI;;200247;200249;;-3.17;-3.12;47.89;ge;0;;0.400;;0
*LEI;;200225;200224;;-3.40;-3.41;12.40;ge;0;;0.500;;0
*LEI;;200226;200225;;-4.45;-4.45;19.39;ge;;;0.500;;0
*LEI;;200227;200226;;-3.31;-3.40;25.10;ge;0;;0.500;;0
*LEI;;200230;200229;;-3.28;-3.30;30.38;ge;0;;0.600;;0
*LEI;;200243;200245;;-3.15;-3.22;48.05;ge;0;;0.400;;0
*LEI;;200243;200244;;-3.15;-3.14;4.57;ge;;;0.315;;0
*LEI;;200241;200243;;-3.09;-3.15;48.13;ge;0;;0.400;;0
*LEI;;200241;200242;;-3.09;-3.08;4.54;ge;;;0.315;;0
*LEI;;206122;206121;;-3.24;-3.18;32.36;ge;0;;0.400;;0
*LEI;;206121;206120;;-3.18;-3.15;14.07;ge;0;;0.400;;0
*LEI;;206119;206118;;-3.09;-3.07;12.75;ge;0;;0.400;;0
*LEI;;206120;206119;;-3.15;-3.09;24.54;ge;0;;0.400;;0
*LEI;;206138;206137;;-3.85;-3.85;6.77;ge;;;0.400;;0
*LEI;;206137;206136;;-3.83;-3.76;34.02;ge;0;;0.400;;0
*LEI;;4547163;4547174;;-3.59;-3.50;66.49;ge;0;;0.600;;0
*LEI;;4547184;4547177;;-3.38;-3.31;79.37;ge;0;;0.600;;0
*LEI;;4547185;4547184;;-4.20;-4.20;7.78;ge;0;;0.400;;0
*LEI;;4547191;4547184;;-3.40;-3.38;16.56;ge;0;;0.600;;0
*LEI;;4547192;4547191;;-3.38;-3.40;8.89;ge;0;;0.400;;0
*LEI;;4547192;4547196;;-3.38;-3.25;65.47;ge;;;0.315;;0
*LEI;;4547172;4547191;;-3.46;-3.40;57.92;ge;0;;0.600;;0
*LEI;;4547172;4547170;;-4.20;-3.05;58.20;ge;0;;0.600;;0
